cluster,x.unit,tag_model,tag_serial_number,tag_sensor_type,tag_life,tagger,common_name,total_length_m,life_stage,sex,release_location,project,total_detections,days_at_liberty,days_monitored,days_detected,residency_max,residency_min,residency_ratio,residency_category,consecutive_days,highest_detection_month,artificial_reefs,n_reefs
1,teleost,V13AP-1X,1561981,Acc&Press,365,FL,Striped Bass,0.844,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561982,Acc&Press,365,TE,Striped Bass,0.87,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561983,Acc&Press,365,TE,Striped Bass,0.949,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561984,Acc&Press,365,MF,Striped Bass,1.036,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561985,Acc&Press,365,MF,Striped Bass,0.895,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561986,Acc&Press,365,MF,Striped Bass,0.861,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561987,Acc&Press,365,FL,Striped Bass,0.853,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561988,Acc&Press,365,NA,Striped Bass,0.934,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561989,Acc&Press,365,MF,Striped Bass,0.91,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561990,Acc&Press,365,MF,Striped Bass,0.662,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561991,Acc&Press,365,MF,Striped Bass,1.035,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561992,Acc&Press,365,MF,Striped Bass,0.987,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561993,Acc&Press,365,MF,Striped Bass,0.98,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V16TP-1x,1565676,Press&Temp,3650,BC,Smooth Dogfish,0.7,Immature,M,Shinecock Bay,Sunrise,0,0,0,0,0,0,0,None,0,0,NA,0
2,elasmobranch,V16TP-1x,1565678,Press&Temp,3650,BS,Smooth Hammerhead,1.48,Immature,M,USS San Diego,Sunrise,28,23,54,3,0.130434783,0.055555556,0.425925926,Transient,1,8,"Atlantic Beach,USS San Diego",2
1,elasmobranch,V16TP-1x,1565680,Press&Temp,3650,BC,Smooth Dogfish,0.77,Immature,M,Shinecock Bay,Sunrise,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V16TP-1x,1565682,Press&Temp,3650,BC,Smooth Dogfish,0.8,Immature,F,Shinecock Bay,Sunrise,0,0,0,0,0,0,0,None,0,0,NA,0
2,elasmobranch,V16TP-1x,1565684,Press&Temp,3650,BC,Smooth Dogfish,1.17,Mature,F,Shinnecock Bay,Sunrise,8,1,52,1,1,0.019230769,0.019230769,Transient,1,9,Shinnecock,1
2,elasmobranch,V16TP-1x,1565686,Press&Temp,3650,BC,Smooth Dogfish,1.16,Mature,F,Shinnecock Bay,Sunrise,134,17,52,3,0.176470588,0.057692308,0.326923077,Transient,1,9,"Moriches,Shinnecock",2
1,elasmobranch,V16TP-1x,1565688,Press&Temp,3650,BC,Dusky,0.91,Immature,F,Jones Beach,Sunrise,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V16TP-1x,1565689,Press&Temp,3650,BS,Sand Tiger,1.52,Immature,F,Tobay Beach,Sunrise,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V16TP-1x,1565690,Press&Temp,3650,BC,Smooth Dogfish,1.21,Mature,F,Shinnecock Bay,Sunrise,0,0,0,0,0,0,0,None,0,0,NA,0
2,elasmobranch,V16TP-1x,1565693,Press&Temp,3650,HN,Dusky,1.29,Immature,M,Southampton,Sunrise,180,34,69,5,0.147058824,0.072463768,0.492753623,Transient,2,9,"Moriches,Fire Island,McAllister",3
2,elasmobranch,V16TP-1x,1565696,Press&Temp,3650,HN,Dusky,1.16,Immature,F,Southampton,Sunrise,392,21,70,5,0.238095238,0.071428571,0.3,Transient,2,9,"McAllister,Fire Island,Shinnecock,Moriches",4
1,teleost,V6-2x,1565965,None,49,BS,Tautog,0.143,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565966,None,49,BS,Tautog,0.155,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565967,None,49,BS,Tautog,0.143,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565968,None,49,BS,Tautog,0.174,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565969,None,49,BS,Tautog,0.15,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565970,None,49,BS,Tautog,0.171,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565971,None,49,BS,Tautog,0.19,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565972,None,49,BS,Black Sea Bass,0.154,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565973,None,49,BS,Tautog,0.168,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565974,None,49,BS,Tautog,0.17,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565975,None,49,BS,Black Sea Bass,0.154,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V6-2x,1565976,None,49,BS,Black Sea Bass,0.159,Juvenile,F,NA,Landscape Lab,9623,12,47,9,0.75,0.191489362,0.255319149,Transient,5,9,Shinnecock,1
1,teleost,V6-2x,1565977,None,49,BS,Black Sea Bass,0.175,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565978,None,49,BS,Black Sea Bass,0.171,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565979,None,49,BS,Black Sea Bass,0.153,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565980,None,49,BS,Black Sea Bass,0.173,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565981,None,49,BS,Black Sea Bass,0.176,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565982,None,49,BS,Black Sea Bass,0.168,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565983,None,49,BS,Black Sea Bass,0.165,Juvenile,F,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V6-2x,1565984,None,49,BS,Tautog,0.151,Juvenile,U,NA,Landscape Lab,0,0,0,0,0,0,0,None,0,0,NA,0
2,elasmobranch,V16TP-1x,1566595,Press&Temp,3650,HN,Dusky,0.95,Immature,M,Southampton,Sunrise,360,18,69,10,0.555555556,0.144927536,0.260869565,Transient,6,9,"Moriches,Fire Island,Atlantic Beach",3
1,teleost,V13AP-1X,15161955,Acc&Press,365,MF,Striped Bass,0.81,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,15211510,Acc&Press,365,BS,Striped Bass,0.62,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
