cluster,x.unit,tag_model,tag_serial_number,tag_sensor_type,tag_life,tagger,common_name,total_length_m,life_stage,sex,release_location,project,total_detections,days_at_liberty,days_monitored,days_detected,residency_max,residency_min,residency_ratio,residency_category,consecutive_days,highest_detection_month,artificial_reefs,n_reefs
2,elasmobranch,V16TP-1x,1536486,Press&Temp,3650,BC,Dusky,0.97,Immature,F,Jones Beach,Sunrise,175,27,99,6,0.222222222,0.060606061,0.272727273,Transient,2,8,"McAllister,Atlantic Beach,Hempstead",3
2,elasmobranch,V16TP-1x,1536487,Press&Temp,3650,LI,Sand Tiger,2.23,Mature,M,Tobay Beach,Sunrise,337,75,95,9,0.12,0.094736842,0.789473684,Intermittent Resident,3,8,"McAllister,Rockaway,Atlantic Beach,USS San Diego,Fire Island",5
2,elasmobranch,V16TP-1x,1536488,Press&Temp,3650,BC,Dusky,1.05,Immature,M,Jones Beach,Sunrise,270,35,99,14,0.4,0.141414141,0.353535354,Transient,9,8,"Hempstead,Rockaway,Atlantic Beach,McAllister",4
2,elasmobranch,V16TP-1x,1536489,Press&Temp,3650,BP,Dusky,0.93,Immature,M,Jones Beach,Sunrise,167,50,97,7,0.14,0.072164948,0.515463918,Intermittent Resident,2,8,"Hempstead,Fire Island,Atlantic Beach",3
2,elasmobranch,V16TP-1x,1536490,Press&Temp,3650,BC,Dusky,1.21,Immature,M,Fire Island,Sunrise,62,64,101,6,0.09375,0.059405941,0.633663366,Intermittent Resident,1,8,"Moriches,Hempstead,Atlantic Beach",3
2,elasmobranch,V16TP-1x,1536491,Press&Temp,3650,BC,Dusky,1.07,Immature,M,Jones Beach,Sunrise,184,65,97,11,0.169230769,0.113402062,0.670103093,Intermittent Resident,2,9,"McAllister,Hempstead,Fire Island,Atlantic Beach",4
2,elasmobranch,V16TP-1x,1536492,Press&Temp,3650,BC,Dusky,0.95,Immature,M,Fire Island,Sunrise,73,1,101,1,1,0.00990099,0.00990099,Transient,1,7,Fire Island,1
2,elasmobranch,V16TP-1x,1536493,Press&Temp,3650,BC,Dusky,0.99,Immature,F,Tobay Beach,Sunrise,200,49,99,7,0.142857143,0.070707071,0.494949495,Transient,2,8,"Hempstead,Fire Island",2
2,elasmobranch,V16TP-1x,1536494,Press&Temp,3650,BC,Dusky,1.06,Immature,F,Fire Island,Sunrise,476,31,101,9,0.290322581,0.089108911,0.306930693,Transient,3,7,"Fire Island,McAllister,Hempstead,Atlantic Beach",4
1,elasmobranch,V16TP-1x,1536495,Press&Temp,3650,BC,Dusky,0.98,Immature,M,Fire Island,Sunrise,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1X,1539750,Acc&Press,365,NA,Striped Bass,0.933,NA,U,Great South Bay,Southfork,51,191,162,6,0.031413613,0.037037037,1.179012346,Intermittent Resident,2,11,"Yellowbar,Fire Island",2
1,teleost,V13AP-1x,1539751,Acc&Press,365,AN,Striped Bass,0.755,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1x,1539752,Acc&Press,365,KD,Striped Bass,0.635,NA,U,Shinnecock Bay,Southfork,23,12,354,4,0.333333333,0.011299435,0.033898305,Transient,2,11,Yellowbar,1
2,teleost,V13AP-1x,1539753,Acc&Press,365,KD,Striped Bass,0.73,NA,U,Shinnecock Bay,Southfork,103,349,354,3,0.008595989,0.008474576,0.985875706,Intermittent Resident,1,11,"Moriches,Hempstead",2
1,teleost,V13AP-1x,1539754,Acc&Press,365,KD,Striped Bass,0.57,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539755,Acc&Press,365,MF,Striped Bass,0.858,NA,U,Great South Bay,Southfork,38,7,162,2,0.285714286,0.012345679,0.043209877,Transient,1,5,"Yellowbar,Kismet",2
1,teleost,V13AP-1X,1539756,Acc&Press,365,NA,Striped Bass,0.83,NA,U,Great South Bay,Southfork,10,8,162,2,0.25,0.012345679,0.049382716,Transient,1,5,"Yellowbar,Kismet",2
1,teleost,V13AP-1x,1539757,Acc&Press,365,AN,Striped Bass,0.634,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1539758,Acc&Press,365,AN,Striped Bass,0.597,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1X,1539761,Acc&Press,365,MF,Striped Bass,0.905,NA,U,Great South Bay,Southfork,783,173,162,6,0.034682081,0.037037037,1.067901235,Intermittent Resident,4,5,"Yellowbar,Kismet,Shinnecock",3
1,teleost,V13AP-1X,1539762,Acc&Press,365,AN,Striped Bass,0.936,NA,U,Jones Beach,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539763,Acc&Press,365,NA,Striped Bass,0.715,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539764,Acc&Press,365,NA,Striped Bass,0.805,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1X,1539765,Acc&Press,365,MM,Striped Bass,0.775,NA,U,Great South Bay,Southfork,76,189,162,3,0.015873016,0.018518519,1.166666667,Intermittent Resident,2,11,"Yellowbar,Fire Island",2
1,teleost,V13AP-1X,1539766,Acc&Press,365,NA,Striped Bass,0.826,NA,U,Jones Beach,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539767,Acc&Press,365,FL,Striped Bass,0.937,NA,U,Jones Beach,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539769,Acc&Press,365,AN,Striped Bass,0.564,NA,U,Jamaica Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539770,Acc&Press,365,AN,Striped Bass,1.005,NA,U,Jones Beach,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539771,Acc&Press,365,AN,Striped Bass,0.834,NA,U,Jones Beach,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539772,Acc&Press,365,MF,Striped Bass,1.155,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539773,Acc&Press,365,NA,Striped Bass,0.852,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539774,Acc&Press,365,MF,Striped Bass,0.664,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1539775,Acc&Press,365,AN,Striped Bass,0.835,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1x,1539776,Acc&Press,365,AN,Striped Bass,0.61,NA,U,Rockaway,Southfork,19,2,337,2,1,0.005934718,0.005934718,Transient,2,11,"Atlantic Beach,McAllister,Yellowbar",3
1,teleost,V13AP-1x,1539777,Acc&Press,365,AN,Striped Bass,0.631,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1x,1539778,Acc&Press,365,AN,Striped Bass,0.677,NA,U,Rockaway,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
